question,query
what state is the largest in population,SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
which state has the biggest population,SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
which state has the greatest population,SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
which state has the most population,SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
what state has the most people,SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
which state has the most people,SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
what is the most populous state in the us,SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
what state has the highest population,SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
what is the lowest elevation in pennsylvania,"SELECT lowest_elevation FROM highlow WHERE state_name  =  ""pennsylvania"";"
what is the highest point in each state whose lowest point is sea level,"SELECT highest_point  ,  state_name FROM highlow WHERE lowest_elevation  =  0;"
what is the length of the longest river in the usa,SELECT LENGTH FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river );
how long is the longest river in the usa,SELECT LENGTH FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river );
what is the longest river flowing through texas,"SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river WHERE traverse  =  ""texas"" ) AND traverse  =  ""texas"";"
what is the largest river in texas state,"SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river WHERE traverse  =  ""texas"" ) AND traverse  =  ""texas"";"
what is the longest river in texas,"SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river WHERE traverse  =  ""texas"" ) AND traverse  =  ""texas"";"
what is the biggest river in texas,"SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river WHERE traverse  =  ""texas"" ) AND traverse  =  ""texas"";"
what is the longest river that flows through texas,"SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river WHERE traverse  =  ""texas"" ) AND traverse  =  ""texas"";"
what are the biggest rivers in texas,"SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river WHERE traverse  =  ""texas"" ) AND traverse  =  ""texas"";"
how many rivers are in idaho,"SELECT COUNT ( river_name ) FROM river WHERE traverse  =  ""idaho"";"
give me the number of rivers in idaho,"SELECT COUNT ( river_name ) FROM river WHERE traverse  =  ""idaho"";"
how many rivers does idaho have,"SELECT COUNT ( river_name ) FROM river WHERE traverse  =  ""idaho"";"
how many rivers are there in idaho,"SELECT COUNT ( river_name ) FROM river WHERE traverse  =  ""idaho"";"
how many rivers run through idaho,"SELECT COUNT ( river_name ) FROM river WHERE traverse  =  ""idaho"";"
how many rivers are found in idaho,"SELECT COUNT ( river_name ) FROM river WHERE traverse  =  ""idaho"";"
how many rivers in idaho,"SELECT COUNT ( river_name ) FROM river WHERE traverse  =  ""idaho"";"
what states neighbor kentucky,"SELECT border FROM border_info WHERE state_name  =  ""kentucky"";"
which states border kentucky,"SELECT border FROM border_info WHERE state_name  =  ""kentucky"";"
what states border kentucky,"SELECT border FROM border_info WHERE state_name  =  ""kentucky"";"
give me the states that border kentucky,"SELECT border FROM border_info WHERE state_name  =  ""kentucky"";"
what state borders kentucky,"SELECT border FROM border_info WHERE state_name  =  ""kentucky"";"
what states are next to kentucky,"SELECT border FROM border_info WHERE state_name  =  ""kentucky"";"
what states surround kentucky,"SELECT border FROM border_info WHERE state_name  =  ""kentucky"";"
which state borders kentucky,"SELECT border FROM border_info WHERE state_name  =  ""kentucky"";"
what are the neighboring states for kentucky,"SELECT border FROM border_info WHERE state_name  =  ""kentucky"";"
which states adjoin kentucky,"SELECT border FROM border_info WHERE state_name  =  ""kentucky"";"
states bordering kentucky,"SELECT border FROM border_info WHERE state_name  =  ""kentucky"";"
which state border kentucky,"SELECT border FROM border_info WHERE state_name  =  ""kentucky"";"
what is the adjacent state of kentucky,"SELECT border FROM border_info WHERE state_name  =  ""kentucky"";"
name all the rivers in illinois,"SELECT river_name FROM river WHERE traverse  =  ""illinois"";"
rivers in illinois,"SELECT river_name FROM river WHERE traverse  =  ""illinois"";"
what are all the rivers in illinois,"SELECT river_name FROM river WHERE traverse  =  ""illinois"";"
what are the rivers in illinois,"SELECT river_name FROM river WHERE traverse  =  ""illinois"";"
what rivers are in illinois,"SELECT river_name FROM river WHERE traverse  =  ""illinois"";"
what rivers are there in illinois,"SELECT river_name FROM river WHERE traverse  =  ""illinois"";"
what rivers run through illinois,"SELECT river_name FROM river WHERE traverse  =  ""illinois"";"
what rivers flow through illinois,"SELECT river_name FROM river WHERE traverse  =  ""illinois"";"
what river flows through illinois,"SELECT river_name FROM river WHERE traverse  =  ""illinois"";"
what are the rivers in the state of illinois,"SELECT river_name FROM river WHERE traverse  =  ""illinois"";"
name the rivers in illinois,"SELECT river_name FROM river WHERE traverse  =  ""illinois"";"
what are the rivers of illinois,"SELECT river_name FROM river WHERE traverse  =  ""illinois"";"
which rivers are in illinois,"SELECT river_name FROM river WHERE traverse  =  ""illinois"";"
which rivers flow through illinois,"SELECT river_name FROM river WHERE traverse  =  ""illinois"";"
what is the river that cross over illinois,"SELECT river_name FROM river WHERE traverse  =  ""illinois"";"
what river runs through illinois,"SELECT river_name FROM river WHERE traverse  =  ""illinois"";"
what state is springfield in,"SELECT state_name FROM city WHERE city_name  =  ""springfield"";"
where is springfield,"SELECT state_name FROM city WHERE city_name  =  ""springfield"";"
springfield is in what state,"SELECT state_name FROM city WHERE city_name  =  ""springfield"";"
what states have cities named springfield,"SELECT state_name FROM city WHERE city_name  =  ""springfield"";"
which states have cities named springfield,"SELECT state_name FROM city WHERE city_name  =  ""springfield"";"
which state is springfield in,"SELECT state_name FROM city WHERE city_name  =  ""springfield"";"
what states have a city named springfield,"SELECT state_name FROM city WHERE city_name  =  ""springfield"";"
what state has the city springfield,"SELECT state_name FROM city WHERE city_name  =  ""springfield"";"
what states have towns named springfield,"SELECT state_name FROM city WHERE city_name  =  ""springfield"";"
what state is springfield located in,"SELECT state_name FROM city WHERE city_name  =  ""springfield"";"
in which state is springfield,"SELECT state_name FROM city WHERE city_name  =  ""springfield"";"
which state is the city springfield located in,"SELECT state_name FROM city WHERE city_name  =  ""springfield"";"
what states in the united states have a city of springfield,"SELECT state_name FROM city WHERE city_name  =  ""springfield"";"
what is the population of the state with the largest area,SELECT population FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state );
what is the population of the largest state,SELECT population FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state );
how many people live in boulder,"SELECT population FROM city WHERE city_name  =  ""boulder"";"
what is the population of boulder,"SELECT population FROM city WHERE city_name  =  ""boulder"";"
how many people lived in boulder,"SELECT population FROM city WHERE city_name  =  ""boulder"";"
number of people in boulder,"SELECT population FROM city WHERE city_name  =  ""boulder"";"
what is the population of boulder city,"SELECT population FROM city WHERE city_name  =  ""boulder"";"
how big is the city of boulder,"SELECT population FROM city WHERE city_name  =  ""boulder"";"
population of boulder,"SELECT population FROM city WHERE city_name  =  ""boulder"";"
what is the population in boulder,"SELECT population FROM city WHERE city_name  =  ""boulder"";"
people in boulder,"SELECT population FROM city WHERE city_name  =  ""boulder"";"
how many people in boulder,"SELECT population FROM city WHERE city_name  =  ""boulder"";"
how many inhabitants does boulder have,"SELECT population FROM city WHERE city_name  =  ""boulder"";"
number of citizens in boulder,"SELECT population FROM city WHERE city_name  =  ""boulder"";"
how many citizens in boulder,"SELECT population FROM city WHERE city_name  =  ""boulder"";"
what is the smallest city in alaska,"SELECT city_name FROM city WHERE population  =  ( SELECT MIN ( population ) FROM city WHERE state_name  =  ""alaska"" ) AND state_name  =  ""alaska"";"
which states lie on the largest river in the united states,SELECT traverse FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river );
which states does the longest river run through,SELECT traverse FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river );
which state has the longest river,SELECT traverse FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river );
what are the states through which the longest river runs,SELECT traverse FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river );
which states does the longest river cross,SELECT traverse FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river );
what is the population density of the state with the smallest area,SELECT density FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state );
what is the population density of the smallest state,SELECT density FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state );
which states have points higher than the highest point in colorado,"SELECT state_name FROM highlow WHERE highest_elevation  >  ( SELECT highest_elevation FROM highlow WHERE state_name  =  ""colorado"" );"
which states have points that are higher than the highest point in colorado,"SELECT state_name FROM highlow WHERE highest_elevation  >  ( SELECT highest_elevation FROM highlow WHERE state_name  =  ""colorado"" );"
what states high point are higher than that of colorado,"SELECT state_name FROM highlow WHERE highest_elevation  >  ( SELECT highest_elevation FROM highlow WHERE state_name  =  ""colorado"" );"
what is the highest elevation in delaware,"SELECT highest_elevation FROM highlow WHERE state_name  =  ""delaware"";"
how high is the highest point of delaware,"SELECT highest_elevation FROM highlow WHERE state_name  =  ""delaware"";"
how tall is the highest point in delaware,"SELECT highest_elevation FROM highlow WHERE state_name  =  ""delaware"";"
what is the highest point in delaware in meters,"SELECT highest_elevation FROM highlow WHERE state_name  =  ""delaware"";"
how high is the highest point in delaware,"SELECT highest_elevation FROM highlow WHERE state_name  =  ""delaware"";"
give me the longest river that passes through the us,SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river );
which is the longest river in usa,SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river );
what is the longest river in america,SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river );
name the longest river in us,SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river );
what river is the longest one in the united states,SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river );
what is the longest river in the us,SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river );
what is the longest river,SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river );
what is the longest river in the united states,SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river );
what state has the city with the largest population,SELECT state_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city );
what state has the largest city,SELECT state_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city );
which state has the largest city,SELECT state_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city );
what state has the city with the most population,SELECT state_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city );
what is the smallest city in the largest state,SELECT city_name FROM city WHERE population  =  ( SELECT MIN ( population ) FROM city WHERE state_name IN ( SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state ) ) ) AND state_name IN ( SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state ) );
what state is the biggest,SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state );
what is the state with the largest area,SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state );
what state has the largest area,SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state );
what is the biggest state in continental us,SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state );
state the state with the largest area,SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state );
what is the largest state in usa,SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state );
what is the biggest state,SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state );
what is the biggest state in the usa,SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state );
give me the largest state,SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state );
what is the largest state in the us,SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state );
what is the largest state,SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state );
what are the highest points of states surrounding mississippi,"SELECT highest_point FROM highlow WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""mississippi"" );"
what are the high points of states surrounding mississippi,"SELECT highest_point FROM highlow WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""mississippi"" );"
what is the highest point in states bordering colorado,"SELECT highest_point FROM highlow WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""colorado"" ) ORDER BY highest_elevation DESC LIMIT 1;"
what is the highest point in the states bordering colorado,"SELECT highest_point FROM highlow WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""colorado"" ) ORDER BY highest_elevation DESC LIMIT 1;"
what is the state with the lowest population density,SELECT state_name FROM state WHERE density  =  ( SELECT MIN ( density ) FROM state );
what state has the lowest population density,SELECT state_name FROM state WHERE density  =  ( SELECT MIN ( density ) FROM state );
which state has the lowest population density,SELECT state_name FROM state WHERE density  =  ( SELECT MIN ( density ) FROM state );
which state has the smallest population density,SELECT state_name FROM state WHERE density  =  ( SELECT MIN ( density ) FROM state );
what state has the sparsest population density,SELECT state_name FROM state WHERE density  =  ( SELECT MIN ( density ) FROM state );
which state has the sparsest population density,SELECT state_name FROM state WHERE density  =  ( SELECT MIN ( density ) FROM state );
what state has the least population density,SELECT state_name FROM state WHERE density  =  ( SELECT MIN ( density ) FROM state );
which state has the least population density,SELECT state_name FROM state WHERE density  =  ( SELECT MIN ( density ) FROM state );
what state has the smallest population density,SELECT state_name FROM state WHERE density  =  ( SELECT MIN ( density ) FROM state );
where is the highest point in texas,"SELECT highest_point FROM highlow WHERE state_name  =  ""texas"";"
what is the highest point in texas,"SELECT highest_point FROM highlow WHERE state_name  =  ""texas"";"
what is the high point of texas,"SELECT highest_point FROM highlow WHERE state_name  =  ""texas"";"
what is the highest mountain in texas,"SELECT highest_point FROM highlow WHERE state_name  =  ""texas"";"
could you tell me what is the highest point in the state of texas,"SELECT highest_point FROM highlow WHERE state_name  =  ""texas"";"
what states have no bordering state,SELECT state_name FROM state WHERE state_name NOT IN ( SELECT state_name FROM border_info );
name the states which have no surrounding states,SELECT state_name FROM state WHERE state_name NOT IN ( SELECT state_name FROM border_info );
which states border no other states,SELECT state_name FROM state WHERE state_name NOT IN ( SELECT state_name FROM border_info );
what is the area of the state with the smallest population density,SELECT area FROM state WHERE density  =  ( SELECT MIN ( density ) FROM state );
count the states which have elevations lower than what alabama has,"SELECT COUNT ( state_name ) FROM highlow WHERE lowest_elevation  <  ( SELECT lowest_elevation FROM highlow WHERE state_name  =  ""alabama"" );"
how high is guadalupe peak,"SELECT highest_elevation FROM highlow WHERE highest_point  =  ""guadalupe peak"";"
how tall is guadalupe peak,"SELECT highest_elevation FROM highlow WHERE highest_point  =  ""guadalupe peak"";"
what is the maximum elevation of guadalupe peak,"SELECT highest_elevation FROM highlow WHERE highest_point  =  ""guadalupe peak"";"
how high is the highest point in america,SELECT MAX ( highest_elevation ) FROM highlow;
what is the highest elevation in the united states,SELECT MAX ( highest_elevation ) FROM highlow;
what is the elevation of the highest point in the usa,SELECT MAX ( highest_elevation ) FROM highlow;
what is the height of the highest point in the usa,SELECT MAX ( highest_elevation ) FROM highlow;
how long is the rio grande river,"SELECT LENGTH FROM river WHERE river_name  =  ""rio grande"";"
what is the length of the rio grande river,"SELECT LENGTH FROM river WHERE river_name  =  ""rio grande"";"
what length is the rio grande,"SELECT LENGTH FROM river WHERE river_name  =  ""rio grande"";"
how long is the rio grande,"SELECT LENGTH FROM river WHERE river_name  =  ""rio grande"";"
how long is the rio grande river in miles,"SELECT LENGTH FROM river WHERE river_name  =  ""rio grande"";"
how long is rio grande,"SELECT LENGTH FROM river WHERE river_name  =  ""rio grande"";"
how long is the longest river in texas,"SELECT LENGTH FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river WHERE traverse  =  ""texas"" ) AND traverse  =  ""texas"";"
what is the length of the longest river that runs through texas,"SELECT LENGTH FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river WHERE traverse  =  ""texas"" ) AND traverse  =  ""texas"";"
how many capitals does rhode island have,"SELECT COUNT ( capital ) FROM state WHERE state_name  =  ""rhode island"";"
how many cities are there in the united states,SELECT COUNT ( city_name ) FROM city;
how many cities does the usa have,SELECT COUNT ( city_name ) FROM city;
how many cities are there in the us,SELECT COUNT ( city_name ) FROM city;
how many cities are there in usa,SELECT COUNT ( city_name ) FROM city;
how many cities are there in us,SELECT COUNT ( city_name ) FROM city;
how many major cities are there,SELECT COUNT ( city_name ) FROM city WHERE population  >  150000;
how many citizens does the biggest city have in the usa,SELECT population FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city );
how many colorado rivers are there,"SELECT COUNT ( river_name ) FROM river WHERE river_name  =  ""colorado"";"
how many rivers are called colorado,"SELECT COUNT ( river_name ) FROM river WHERE river_name  =  ""colorado"";"
what is the population of seattle washington,"SELECT population FROM city WHERE city_name  =  ""seattle"" AND state_name  =  ""washington"";"
how many people live in seattle washington,"SELECT population FROM city WHERE city_name  =  ""seattle"" AND state_name  =  ""washington"";"
how many people live in the biggest city in alaska state,"SELECT population FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  ""alaska"" ) AND state_name  =  ""alaska"";"
how large is the largest city in alaska,"SELECT population FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  ""alaska"" ) AND state_name  =  ""alaska"";"
how many people live in the capital of texas,"SELECT population FROM city WHERE city_name  =  ( SELECT capital FROM state WHERE state_name  =  ""texas"" );"
what is the size of the capital of texas,"SELECT population FROM city WHERE city_name  =  ( SELECT capital FROM state WHERE state_name  =  ""texas"" );"
how many people live in the united states,SELECT SUM ( population ) FROM state;
what is the combined population of all 50 states,SELECT SUM ( population ) FROM state;
how many states are in the usa,SELECT COUNT ( state_name ) FROM state;
how many states are there,SELECT COUNT ( state_name ) FROM state;
how many states are there in the usa,SELECT COUNT ( state_name ) FROM state;
how many states does usa have,SELECT COUNT ( state_name ) FROM state;
how many states are in the united states,SELECT COUNT ( state_name ) FROM state;
how many states are there in united states,SELECT COUNT ( state_name ) FROM state;
how many states border kentucky,"SELECT COUNT ( border ) FROM border_info WHERE state_name  =  ""kentucky"";"
how many states does kentucky border,"SELECT COUNT ( border ) FROM border_info WHERE state_name  =  ""kentucky"";"
kentucky borders how many states,"SELECT COUNT ( border ) FROM border_info WHERE state_name  =  ""kentucky"";"
number of states bordering kentucky,"SELECT COUNT ( border ) FROM border_info WHERE state_name  =  ""kentucky"";"
what is the number of neighboring states for kentucky,"SELECT COUNT ( border ) FROM border_info WHERE state_name  =  ""kentucky"";"
how many states border the state with the largest population,SELECT COUNT ( border ) FROM border_info WHERE state_name IN ( SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state ) );
how many states do not have rivers,SELECT COUNT ( DISTINCT state_name ) FROM state WHERE state_name NOT IN ( SELECT traverse FROM river );
how many states have a higher point than the highest point of the state with the largest capital city in the us,SELECT COUNT ( state_name ) FROM highlow WHERE highest_elevation  >  ( SELECT highest_elevation FROM highlow WHERE state_name  =  ( SELECT state_name FROM state WHERE capital  =  ( SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city ) ) ) );
name the major rivers in illinois,"SELECT river_name FROM river WHERE LENGTH  >  750 AND traverse  =  ""illinois"";"
what are the major rivers in illinois,"SELECT river_name FROM river WHERE LENGTH  >  750 AND traverse  =  ""illinois"";"
what are major rivers in illinois,"SELECT river_name FROM river WHERE LENGTH  >  750 AND traverse  =  ""illinois"";"
what major rivers run through illinois,"SELECT river_name FROM river WHERE LENGTH  >  750 AND traverse  =  ""illinois"";"
through which states does the longest river in texas run,"SELECT traverse FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river WHERE traverse  =  ""texas"" );"
what are the capital city in texas,"SELECT capital FROM state WHERE state_name  =  ""texas"";"
what is the capital of texas,"SELECT capital FROM state WHERE state_name  =  ""texas"";"
what is the capital of the texas state,"SELECT capital FROM state WHERE state_name  =  ""texas"";"
what is capital of texas,"SELECT capital FROM state WHERE state_name  =  ""texas"";"
what is the capital of the state texas,"SELECT capital FROM state WHERE state_name  =  ""texas"";"
can you tell me the capital of texas,"SELECT capital FROM state WHERE state_name  =  ""texas"";"
what are the capitals of states that border texas,"SELECT t2.capital FROM state AS t2 JOIN border_info AS t1 ON t2.state_name  =  t1.border WHERE t1.state_name  =  ""texas"";"
what are the capital cities of the states which border texas,"SELECT t2.capital FROM state AS t2 JOIN border_info AS t1 ON t2.state_name  =  t1.border WHERE t1.state_name  =  ""texas"";"
what are the capitals of the states that border texas,"SELECT t2.capital FROM state AS t2 JOIN border_info AS t1 ON t2.state_name  =  t1.border WHERE t1.state_name  =  ""texas"";"
which capitals are in the states that border texas,"SELECT t2.capital FROM state AS t2 JOIN border_info AS t1 ON t2.state_name  =  t1.border WHERE t1.state_name  =  ""texas"";"
what are the cities in states through which the mississippi runs,"SELECT city_name FROM city WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" );"
what are the cities of the state with the highest point,SELECT city_name FROM city WHERE state_name IN ( SELECT state_name FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow ) );
what are the highest points of all the states,SELECT highest_point FROM highlow;
what are the major cities in kansas,"SELECT city_name FROM city WHERE population  >  150000 AND state_name  =  ""kansas"";"
